model,threshold,precision,recall,f1,f2,roc_auc,average_precision,true_positive,false_positive,true_negative,false_negative,validation_f2
logistic_regression,0.9500000000000002,0.4105960264900662,0.8378378378378378,0.5511111111111111,0.6935123042505593,0.9667152732360949,0.79187745504994,62,89,42559,12,0.6703296703296703
random_forest,0.4600000000000001,0.8133333333333334,0.8243243243243243,0.8187919463087249,0.8221024258760108,0.9822129740883259,0.8053072413260539,61,14,42634,13,0.7733333333333333
xgboost,0.8300000000000002,0.759493670886076,0.8108108108108109,0.7843137254901961,0.8,0.9626657819890797,0.7968880983866029,60,19,42629,14,0.7792207792207793
